inchiKey,smiles,MolView_url,homo,lumo,verticalExcitationEnergy,redoxPotentialS0,redoxPotentialS1,redoxPotentialT1,dipoleMomentS0,dipoleMomentS1,dipoleMomentT1,zero0s1,zero0t1,ionizationPotential,source_directory
AAACLBGNAMDLRM-UHFFFAOYSA-N,[O-][N+](=O)C1=CC=C(C1)c1cc2c3cc(C4=CC=C(C4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(C1)[N+](=O)[O-])cc(c5ccc4)C1=CC=C(C1)[N+](=O)[O-],http://molview.org/?q=[O-][N+](=O)C1=CC=C(C1)c1cc2c3cc(C4=CC=C(C4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(C1)[N+](=O)[O-])cc(c5ccc4)C1=CC=C(C1)[N+](=O)[O-],-5.68,-3.29,2.98,,,,7.65,7.65,9.44,1.55,0.33,6.94,/scratch/abreha.b/dibenzoperylenes
AABWABYCSVIRCD-UHFFFAOYSA-N,N#Cc1c(cc(cc1c1[nH]cc(c1)C)C#N)c1[nH]cc(c1)C,http://molview.org/?q=N#Cc1c(cc(cc1c1[nH]cc(c1)C)C#N)c1[nH]cc(c1)C,-6.0,-2.7,2.87,-1.25,,-3.15,1.94,1.94,8.3,,1.9,7.23,/scratch/adrion.d/workflow/dicyanobenzene_2_5
AAORCGFHHZZHNA-DQRAZIAOSA-N,O=Cn1cccc1c1ccc([nH]1)/N=N\c1ccc([nH]1)c1cccn1C=O,http://molview.org/?q=O=Cn1cccc1c1ccc([nH]1)/N=N\c1ccc([nH]1)c1cccn1C=O,-5.5,-2.53,2.99,0.83,-0.62,0.59,7.91,7.91,6.94,1.45,0.24,5.68,/scratch/abreha.b/photoswitch_flows/pyrrole_cis
AAVCLCWJGYZTDA-DQRAZIAOSA-N,Sc1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)S,http://molview.org/?q=Sc1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)S,-5.99,-2.94,2.56,0.85,,,8.12,8.12,6.76,,,6.46,/scratch/mileson.b/thiophene_cis
AAVCLCWJGYZTDA-QURGRASLSA-N,Sc1ccc(nc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cn1)S,http://molview.org/?q=Sc1ccc(nc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cn1)S,-5.83,-3.05,2.86,1.03,,0.19,4.23,4.23,3.79,,0.84,6.46,/scratch/abreha.b/photoswitch_flows/thiophene_trans
ABQDDWFBVUXCCM-UHFFFAOYSA-N,C1=CC=C(C1)c1cc2c3cc(C4=CC=CC4)c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=CC1)cc(c5ccc4)C1=CC=CC1,http://molview.org/?q=C1=CC=C(C1)c1cc2c3cc(C4=CC=CC4)c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=CC1)cc(c5ccc4)C1=CC=CC1,-5.11,-2.43,2.93,-4.26,-6.11,-5.33,1.27,1.27,1.45,1.85,1.07,5.75,/scratch/abreha.b/dibenzoperylenes
ACHAKXGARSBJCU-FMQUCBEESA-N,ClC1=CC=C(S1(=O)=O)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(S1(=O)=O)Cl,http://molview.org/?q=ClC1=CC=C(S1(=O)=O)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(S1(=O)=O)Cl,-6.15,-3.67,2.42,1.29,-0.51,0.86,0.0,0.0,0.0,1.8,0.43,7.04,/scratch/adrion.d/workflow/furan_trans
ACQPYVKVSJDFCK-FMQUCBEESA-N,COc1cnc(o1)c1ccc(o1)/N=N/c1ccc(o1)c1ncc(o1)OC,http://molview.org/?q=COc1cnc(o1)c1ccc(o1)/N=N/c1ccc(o1)c1ncc(o1)OC,-5.68,-3.0,2.7,0.79,-1.24,0.03,3.72,3.72,3.7,2.03,0.76,6.34,/scratch/adrion.d/workflow/furan_trans
ACTGLTIMWSZFGY-UHFFFAOYSA-N,Cc1ccc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cn1)C,http://molview.org/?q=Cc1ccc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cn1)C,-5.42,-2.45,1.5,0.56,-1.54,-0.68,5.01,5.01,5.02,2.1,1.24,6.04,/scratch/abreha.b/dibenzoperylenes_2sub
ADAZAFCPASNDPP-FMQUCBEESA-N,O=Cn1c(O)ccc1c1ccc(s1)/N=N/c1ccc(s1)c1ccc(n1C=O)O,http://molview.org/?q=O=Cn1c(O)ccc1c1ccc(s1)/N=N/c1ccc(s1)c1ccc(n1C=O)O,-5.56,-2.96,3.05,0.61,,-0.13,1.15,1.15,0.37,,0.74,6.33,/scratch/abreha.b/photoswitch_flows/thiophene_trans
ADAZAFCPASNDPP-VXPUYCOJSA-N,O=Cn1c(O)ccc1c1ccc(s1)/N=N\c1ccc(s1)c1ccc(n1C=O)O,http://molview.org/?q=O=Cn1c(O)ccc1c1ccc(s1)/N=N\c1ccc(s1)c1ccc(n1C=O)O,-5.6,-2.92,2.45,0.55,,,5.51,5.51,5.57,,,6.32,/scratch/mileson.b/thiophene_cis
ADBHWIFYPVCEFF-DHTIVLMFSA-N,FC(O/N=C\c1ccc(cc1)/N=N/c1ccc(cc1)/C=N\OC(F)(F)F)(F)F,http://molview.org/?q=FC(O/N=C\c1ccc(cc1)/N=N/c1ccc(cc1)/C=N\OC(F)(F)F)(F)F,-7.05,-3.21,2.74,1.93,,0.88,6.03,6.03,5.66,,1.05,7.98,/scratch/adrion.d/workflow/benzene_trans
ADBHWIFYPVCEFF-DQZFJYGGSA-N,FC(O/N=C\c1ccc(cc1)/N=N\c1ccc(cc1)/C=N\OC(F)(F)F)(F)F,http://molview.org/?q=FC(O/N=C\c1ccc(cc1)/N=N\c1ccc(cc1)/C=N\OC(F)(F)F)(F)F,-6.73,-2.83,2.65,1.57,,1.03,0.33,0.33,0.78,,0.54,7.68,/scratch/abreha.b/photoswitch_flows/benzene_cis
ADKRDEGKLBNGBG-UHFFFAOYSA-N,N#Cc1cc([nH]c1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1[nH]cc(c1)C#N,http://molview.org/?q=N#Cc1cc([nH]c1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1[nH]cc(c1)C#N,-6.55,-3.18,2.36,1.69,-0.92,-0.36,7.23,7.23,5.29,2.61,2.05,7.76,/scratch/adrion.d/workflow/anthracene
ADNBYRVFYMWXLS-VHXPQNKSSA-N,FC(OC#Cc1ccc([nH]1)/N=N\c1ccc([nH]1)C#COC(F)(F)F)(F)F,http://molview.org/?q=FC(OC#Cc1ccc([nH]1)/N=N\c1ccc([nH]1)C#COC(F)(F)F)(F)F,-5.95,-2.7,3.07,,,,2.83,2.83,2.21,,0.35,5.86,/scratch/abreha.b/photoswitch_flows/pyrrole_cis
ADNOQZQZUQQVRY-UHFFFAOYSA-N,CC1=CC=C(S1(=O)=O)[C@]1(C)N=N1,http://molview.org/?q=CC1=CC=C(S1(=O)=O)[C@]1(C)N=N1,-7.05,-2.52,3.15,2.05,-0.94,,4.96,4.96,5.25,2.99,,8.37,/scratch/abreha.b/diazirines
ADTPNEOAPBZJMN-UHFFFAOYSA-N,N#C/N=C/c1cc2c3cc(/C=N/C#N)c4c5c3c(c3c2c2c1cccc2c(c3)/C=N/C#N)cc(c5ccc4)/C=N/C#N,http://molview.org/?q=N#C/N=C/c1cc2c3cc(/C=N/C#N)c4c5c3c(c3c2c2c1cccc2c(c3)/C=N/C#N)cc(c5ccc4)/C=N/C#N,-6.21,-3.89,2.79,1.4,-0.21,0.53,10.09,10.09,10.74,1.61,0.87,0.03,/scratch/abreha.b/dibenzoperylenes
AEAYIMCBGRSGQI-DQSJHHFOSA-N,COc1cnc(nc1)c1ccc(cc1)/N=N\c1ccc(cc1)c1ncc(cn1)OC,http://molview.org/?q=COc1cnc(nc1)c1ccc(cc1)/N=N\c1ccc(cc1)c1ncc(cn1)OC,-6.3,-2.53,2.64,1.28,,0.73,10.71,10.71,7.85,,0.55,6.74,/scratch/abreha.b/photoswitch_flows/benzene_cis
AEGULJNXPWYZNH-FMQUCBEESA-N,COc1coc(n1)c1ccc(o1)/N=N/c1ccc(o1)c1occ(n1)OC,http://molview.org/?q=COc1coc(n1)c1ccc(o1)/N=N/c1ccc(o1)c1occ(n1)OC,-5.87,-3.15,2.76,0.98,-1.07,0.25,0.0,0.0,3.3,2.05,0.73,6.56,/scratch/adrion.d/workflow/furan_trans
AEJUBZUKERUAJG-UHFFFAOYSA-N,O=Cn1c(Cl)ccc1c1cc2c3cc(c4ccc(n4C=O)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C=O)Cl)cc(c5ccc4)c1ccc(n1C=O)Cl,http://molview.org/?q=O=Cn1c(Cl)ccc1c1cc2c3cc(c4ccc(n4C=O)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C=O)Cl)cc(c5ccc4)c1ccc(n1C=O)Cl,-5.78,-2.79,2.97,-4.19,-6.29,-5.45,14.55,14.55,13.92,2.1,1.26,0.17,/scratch/abreha.b/dibenzoperylenes
AEKZZCLDHFTUPJ-FLWNBWAVSA-N,FC(c1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)C(F)(F)F)(F)F,http://molview.org/?q=FC(c1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)C(F)(F)F)(F)F,-6.18,-3.17,2.36,1.11,,0.89,7.98,7.98,6.53,,0.22,6.98,/scratch/mileson.b/thiophene_cis
AEKZZCLDHFTUPJ-QVIHXGFCSA-N,FC(c1ccc(nc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cn1)C(F)(F)F)(F)F,http://molview.org/?q=FC(c1ccc(nc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cn1)C(F)(F)F)(F)F,-6.27,-3.31,3.07,1.27,,0.41,0.37,0.37,0.38,,0.86,7.15,/scratch/abreha.b/photoswitch_flows/thiophene_trans
AEOIGRJIPRLKBQ-DQRAZIAOSA-N,[O-][N+](=O)c1coc(n1)c1ccc(cc1)/N=N\c1ccc(cc1)c1occ(n1)[N+](=O)[O-],http://molview.org/?q=[O-][N+](=O)c1coc(n1)c1ccc(cc1)/N=N\c1ccc(cc1)c1occ(n1)[N+](=O)[O-],-6.7,-3.0,2.63,1.6,,1.04,7.51,7.51,7.24,,0.56,7.7,/scratch/abreha.b/photoswitch_flows/benzene_cis
AEOIGRJIPRLKBQ-QURGRASLSA-N,[O-][N+](=O)c1coc(n1)c1ccc(cc1)/N=N/c1ccc(cc1)c1occ(n1)[N+](=O)[O-],http://molview.org/?q=[O-][N+](=O)c1coc(n1)c1ccc(cc1)/N=N/c1ccc(cc1)c1occ(n1)[N+](=O)[O-],-6.9,-3.19,2.64,2.02,,0.63,0.0,0.0,0.0,,1.39,7.97,/scratch/adrion.d/workflow/benzene_trans
AESSLHRQUPMOFD-VHXPQNKSSA-N,Oc1ccc(n1C)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(n1C)O,http://molview.org/?q=Oc1ccc(n1C)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(n1C)O,-5.39,-2.31,2.71,0.5,,0.01,8.75,8.75,8.09,,0.49,6.1,/scratch/abreha.b/photoswitch_flows/benzene_cis
AFDQNWQLQWRHIC-UHFFFAOYSA-N,N#CC1=CC=C(C1)c1cc2ccc3c4c2c2c1ccc1c2c4c(cc1C1=CC=C(C1)C#N)cc3,http://molview.org/?q=N#CC1=CC=C(C1)c1cc2ccc3c4c2c2c1ccc1c2c4c(cc1C1=CC=C(C1)C#N)cc3,-6.25,-2.46,3.27,,,,5.42,5.42,4.15,2.53,1.5,,/scratch/abreha.b/descriptor_project/dbf_1
AFFVXBUJXLTTRV-YIJOZEPASA-N,S/N=C/c1ccc(o1)/N=N/c1ccc(o1)/C=N/S,http://molview.org/?q=S/N=C/c1ccc(o1)/N=N/c1ccc(o1)/C=N/S,-5.94,-3.16,2.87,1.03,,,1.4,1.4,3.25,,,6.75,/scratch/adrion.d/workflow/furan_trans
AFHDJRYYPAMOJU-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccccn1)c1ccccn1,http://molview.org/?q=O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccccn1)c1ccccn1,-7.09,-3.16,2.67,2.2,-0.85,-0.22,3.73,3.73,5.47,3.05,2.42,7.94,/scratch/adrion.d/workflow/anthracene
AFVMCDTWPLMQCF-HSFFGMMNSA-N,N#C/C=C\c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=C/C#N,http://molview.org/?q=N#C/C=C\c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=C/C#N,-7.4,-3.44,2.67,2.54,-0.52,2.53,5.37,5.37,5.35,3.06,0.01,8.6,/scratch/adrion.d/workflow/anthracene
AFVPQFMVEBIYAA-UHFFFAOYSA-N,Cc1nnc(nn1)[C@]1(C)N=N1,http://molview.org/?q=Cc1nnc(nn1)[C@]1(C)N=N1,-7.16,-3.2,2.35,2.19,0.17,0.83,2.34,2.34,2.51,2.02,1.36,8.48,/scratch/abreha.b/diazirines
AFWGWVQKWXZTQB-UHFFFAOYSA-N,[O-][N+](=O)c1coc(n1)c1cc2c3cc(c4occ(n4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)c1occ(n1)[N+](=O)[O-])cc(c5ccc4)c1occ(n1)[N+](=O)[O-],http://molview.org/?q=[O-][N+](=O)c1coc(n1)c1cc2c3cc(c4occ(n4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)c1occ(n1)[N+](=O)[O-])cc(c5ccc4)c1occ(n1)[N+](=O)[O-],-5.96,-3.3,2.82,-4.35,,,1.33,1.33,2.27,,,7.1,/scratch/abreha.b/dibenzoperylenes
AFXOODAXTQESGF-VHXPQNKSSA-N,Sc1ccc(n1C)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(n1C)S,http://molview.org/?q=Sc1ccc(n1C)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(n1C)S,-5.87,-2.4,2.73,0.78,,,3.44,3.44,2.86,,,6.48,/scratch/abreha.b/photoswitch_flows/benzene_cis
AGEDITIIUHHGKA-HUWOUMPJSA-N,O/N=C\c1ccc(s1)/N=N\c1ccc(s1)/C=N\O,http://molview.org/?q=O/N=C\c1ccc(s1)/N=N\c1ccc(s1)/C=N\O,-6.2,-3.12,2.41,1.15,,,4.84,4.84,3.97,,,6.97,/scratch/mileson.b/thiophene_cis
AGEDITIIUHHGKA-NSFMOVNFSA-N,O/N=C\c1ccc(s1)/N=N/c1ccc(s1)/C=N\O,http://molview.org/?q=O/N=C\c1ccc(s1)/N=N/c1ccc(s1)/C=N\O,-6.25,-3.26,3.06,1.29,,,1.08,1.08,1.1,,,7.07,/scratch/abreha.b/photoswitch_flows/thiophene_trans
AHJHWQYOSRYEHZ-UHFFFAOYSA-N,COc1cnc(o1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ncc(o1)OC,http://molview.org/?q=COc1cnc(o1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ncc(o1)OC,-5.35,-2.62,1.46,0.56,-1.31,,6.7,6.7,6.39,1.87,,5.99,/scratch/abreha.b/dibenzoperylenes_2sub
AHUFQCCLEPEHAM-DQSJHHFOSA-N,FC(c1ccc(o1)c1ccc([nH]1)/N=N\c1ccc([nH]1)c1ccc(o1)C(F)(F)F)(F)F,http://molview.org/?q=FC(c1ccc(o1)c1ccc([nH]1)/N=N\c1ccc([nH]1)c1ccc(o1)C(F)(F)F)(F)F,-5.64,-2.67,2.56,0.99,,0.66,3.55,3.55,6.17,,0.33,6.58,/scratch/abreha.b/photoswitch_flows/pyrrole_cis
AHVSIJQUKZCIQD-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(o1)[N+](=O)[O-])c1ncc(o1)[N+](=O)[O-],http://molview.org/?q=O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(o1)[N+](=O)[O-])c1ncc(o1)[N+](=O)[O-],-7.63,-3.69,2.32,,,,5.82,5.82,4.17,3.05,2.49,8.83,/scratch/adrion.d/workflow/anthracene
AIBUDYASXYCUJS-FMQUCBEESA-N,COc1ccc(s1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(s1)OC,http://molview.org/?q=COc1ccc(s1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(s1)OC,-5.39,-2.89,2.95,0.44,,,3.54,3.54,3.54,,,5.93,/scratch/abreha.b/photoswitch_flows/thiophene_trans
AIBUDYASXYCUJS-VXPUYCOJSA-N,COc1ccc(s1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(s1)OC,http://molview.org/?q=COc1ccc(s1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(s1)OC,-5.44,-2.86,2.4,0.36,,,12.19,12.19,9.78,,,5.9,/scratch/mileson.b/thiophene_cis
AIBYCLNJAVKIQQ-UHFFFAOYSA-N,N#Cc1ncc([nH]1)c1cc2c3cc(c4cnc([nH]4)C#N)c4c5c3c(c3c2c2c1cccc2c(c3)c1cnc([nH]1)C#N)cc(c5ccc4)c1cnc([nH]1)C#N,http://molview.org/?q=N#Cc1ncc([nH]1)c1cc2c3cc(c4cnc([nH]4)C#N)c4c5c3c(c3c2c2c1cccc2c(c3)c1cnc([nH]1)C#N)cc(c5ccc4)c1cnc([nH]1)C#N,-5.72,-2.89,2.91,0.92,-1.07,-0.24,1.03,1.03,1.72,1.99,1.16,7.11,/scratch/abreha.b/dibenzoperylenes
AIFHBMMGUWWCNR-UHFFFAOYSA-N,SC#Cc1cc(C#N)cc(c1C#N)C#CS,http://molview.org/?q=SC#Cc1cc(C#N)cc(c1C#N)C#CS,-6.75,-2.67,3.23,1.94,,,3.19,3.19,6.03,,,8.16,/scratch/adrion.d/workflow/dicyanobenzene_2_5
AIMCWSZPGPELED-FMQUCBEESA-N,COc1cnc(s1)c1ccc(s1)/N=N/c1ccc(s1)c1ncc(s1)OC,http://molview.org/?q=COc1cnc(s1)c1ccc(s1)/N=N/c1ccc(s1)c1ncc(s1)OC,-5.76,-3.13,2.85,0.82,,0.08,1.82,1.82,2.01,,0.74,6.33,/scratch/abreha.b/photoswitch_flows/thiophene_trans
AIMCWSZPGPELED-VXPUYCOJSA-N,COc1cnc(s1)c1ccc(s1)/N=N\c1ccc(s1)c1ncc(s1)OC,http://molview.org/?q=COc1cnc(s1)c1ccc(s1)/N=N\c1ccc(s1)c1ncc(s1)OC,-5.77,-3.09,2.32,0.76,,0.6,9.2,9.2,7.76,,0.16,6.31,/scratch/mileson.b/thiophene_cis
AIMQZQFEGVNVMF-WCWDXBQESA-N,Sc1cc([nH]c1)c1ccc(cc1)/N=N/c1ccc(cc1)c1[nH]cc(c1)S,http://molview.org/?q=Sc1cc([nH]c1)c1ccc(cc1)/N=N/c1ccc(cc1)c1[nH]cc(c1)S,-5.85,-2.65,2.79,0.91,,-0.17,0.0,0.0,2.07,,1.08,6.56,/scratch/adrion.d/workflow/benzene_trans
AISBPSZFKSOVKQ-UHFFFAOYSA-N,FC(c1cnc(s1)[C@@]1(N=N1)C(F)(F)F)(F)F,http://molview.org/?q=FC(c1cnc(s1)[C@@]1(N=N1)C(F)(F)F)(F)F,-7.88,-2.89,3.97,2.91,-0.5,,0.15,0.15,6.29,3.41,,9.44,/scratch/abreha.b/diazirines
AISPCOPFPBLQGL-UHFFFAOYSA-N,CC#Cc1cc2c3cc(C#CC)c4c5c3c(c3c2c2c1cccc2c(c3)C#CC)cc(c5ccc4)C#CC,http://molview.org/?q=CC#Cc1cc2c3cc(C#CC)c4c5c3c(c3c2c2c1cccc2c(c3)C#CC)cc(c5ccc4)C#CC,-5.42,-2.68,2.79,0.92,-1.04,-0.2,0.0,0.0,0.0,1.96,1.12,5.87,/scratch/abreha.b/dibenzoperylenes
AIWCQGOUCCJXMV-UHFFFAOYSA-N,c1coc(c1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccco1,http://molview.org/?q=c1coc(c1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccco1,-5.32,-2.5,1.47,0.56,-1.59,-0.6,1.72,1.72,2.16,2.15,1.16,6.07,/scratch/abreha.b/dibenzoperylenes_2sub
AJBIYLGVQLXABL-DQSJHHFOSA-N,N#Cc1ccc(nc1)c1ccc([nH]1)/N=N\c1ccc([nH]1)c1ccc(cn1)C#N,http://molview.org/?q=N#Cc1ccc(nc1)c1ccc([nH]1)/N=N\c1ccc([nH]1)c1ccc(cn1)C#N,-5.88,-3.0,2.51,1.02,,,7.67,7.67,6.78,,,6.6,/scratch/abreha.b/photoswitch_flows/pyrrole_cis
AJLHDUGFRKCPSZ-UHFFFAOYSA-N,Fc1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)F,http://molview.org/?q=Fc1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)F,-5.55,-2.73,1.51,0.73,-1.18,-0.43,6.39,6.39,7.32,1.91,1.16,6.38,/scratch/abreha.b/dibenzoperylenes_2sub
AJNJHNSKQXZTRS-UHFFFAOYSA-N,Fc1cnc(nc1)c1cc2ccc3c4c2c2c1ccc1c2c4c(cc1c1ncc(cn1)F)cc3,http://molview.org/?q=Fc1cnc(nc1)c1cc2ccc3c4c2c2c1ccc1c2c4c(cc1c1ncc(cn1)F)cc3,-6.63,-2.27,3.48,,,,2.94,2.94,2.5,2.96,2.35,,/scratch/abreha.b/descriptor_project/dbf_1
AJYDRTUPDXCAEO-UHFFFAOYSA-N,Cn1c(O)ccc1[C@]1(O)N=N1,http://molview.org/?q=Cn1c(O)ccc1[C@]1(O)N=N1,-5.93,-2.13,2.9,0.86,-1.61,-0.72,5.12,5.12,10.77,2.47,1.58,7.13,/scratch/abreha.b/diazirines
AKDFNBRPQZVILS-UHFFFAOYSA-N,Cc1coc(n1)c1cc2c3cc(c4occ(n4)C)c4c5c3c(c3c2c2c1cccc2c(c3)c1occ(n1)C)cc(c5ccc4)c1occ(n1)C,http://molview.org/?q=Cc1coc(n1)c1cc2c3cc(c4occ(n4)C)c4c5c3c(c3c2c2c1cccc2c(c3)c1occ(n1)C)cc(c5ccc4)c1occ(n1)C,-5.57,-2.88,2.87,0.69,-1.17,0.47,2.55,2.55,2.61,1.86,0.22,6.06,/scratch/abreha.b/dibenzoperylenes
AKDXABHEOJIAMU-UHFFFAOYSA-N,N#Cc1c(cc(cc1c1[nH]cc(c1)C#N)C#N)c1[nH]cc(c1)C#N,http://molview.org/?q=N#Cc1c(cc(cc1c1[nH]cc(c1)C#N)C#N)c1[nH]cc(c1)C#N,-6.8,-2.71,3.27,1.86,,-0.39,8.1,8.1,3.21,,2.25,8.27,/scratch/adrion.d/workflow/dicyanobenzene_2_5
AKGHZKPYFCNCFX-UHFFFAOYSA-N,Cc1ncc([nH]1)c1ccc2-c3[n+]4c(-c2c1)cc1c2ccc(cc2c2n1[B@@-]4(Cl)n1c(c3)c3cc(ccc3c1c2)c1cnc([nH]1)C)c1cnc([nH]1)C,http://molview.org/?q=Cc1ncc([nH]1)c1ccc2-c3[n+]4c(-c2c1)cc1c2ccc(cc2c2n1[B@@-]4(Cl)n1c(c3)c3cc(ccc3c1c2)c1cnc([nH]1)C)c1cnc([nH]1)C,-5.46,-2.38,2.45,0.58,,-0.99,9.39,9.39,10.62,,1.57,6.13,/scratch/abreha.b/descriptor_project/subpc
AKLALPFICIUKQQ-UHFFFAOYSA-N,Clc1ncc([nH]1)c1cc2c3cc(c4cnc([nH]4)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1cnc([nH]1)Cl)cc(c5ccc4)c1cnc([nH]1)Cl,http://molview.org/?q=Clc1ncc([nH]1)c1cc2c3cc(c4cnc([nH]4)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1cnc([nH]1)Cl)cc(c5ccc4)c1cnc([nH]1)Cl,-5.55,-2.69,2.9,0.71,-1.29,-0.46,8.19,8.19,7.47,2.0,1.17,6.52,/scratch/abreha.b/dibenzoperylenes
AKWQYOVDKSJCTF-DPKLHXOTSA-N,S/N=C\c1ccc(cc1)/N=N\c1ccc(cc1)/C=N/S,http://molview.org/?q=S/N=C\c1ccc(cc1)/N=N\c1ccc(cc1)/C=N/S,-6.27,-2.66,2.66,1.32,,0.8,3.58,3.58,2.9,,0.52,7.04,/scratch/abreha.b/photoswitch_flows/benzene_cis
AKWQYOVDKSJCTF-SXZOPZGESA-N,S/N=C/c1ccc(cc1)/N=N/c1ccc(cc1)/C=N/S,http://molview.org/?q=S/N=C/c1ccc(cc1)/N=N/c1ccc(cc1)/C=N/S,-6.34,-2.98,2.75,1.62,,0.57,0.0,0.0,3.21,,1.05,7.21,/scratch/adrion.d/workflow/benzene_trans
AKZNAIBPMTTYEK-UHFFFAOYSA-N,FC(c1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)C(F)(F)F)(F)F,http://molview.org/?q=FC(c1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)C(F)(F)F)(F)F,-5.59,-2.74,1.51,0.83,-1.12,,10.57,10.57,10.71,1.95,,6.5,/scratch/abreha.b/dibenzoperylenes_2sub
ALJCEEPJJHTTDR-ZXXQZIGBSA-N,N#C/C=C\c1ccc([nH]1)/N=N\c1ccc([nH]1)/C=C/C#N,http://molview.org/?q=N#C/C=C\c1ccc([nH]1)/N=N\c1ccc([nH]1)/C=C/C#N,-6.03,-3.14,2.81,0.58,-0.68,0.57,10.62,10.62,0.0,1.26,0.01,5.97,/scratch/abreha.b/photoswitch_flows/pyrrole_cis
ALLBCJWJXOQIAT-UHFFFAOYSA-N,N#Cc1c(cc(cc1c1ncc(o1)Cl)C#N)c1ncc(o1)Cl,http://molview.org/?q=N#Cc1c(cc(cc1c1ncc(o1)Cl)C#N)c1ncc(o1)Cl,-6.85,-3.15,3.21,-0.78,,-2.9,1.5,1.5,5.85,,2.12,8.31,/scratch/adrion.d/workflow/dicyanobenzene_2_5
ALOYCUJRSMCALL-DQSJHHFOSA-N,N#Cc1ccc(n1C)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(n1C)C#N,http://molview.org/?q=N#Cc1ccc(n1C)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(n1C)C#N,-6.23,-2.54,2.7,1.27,,,5.94,5.94,4.26,,,7.13,/scratch/abreha.b/photoswitch_flows/benzene_cis
ALQCBSRCXHTTHM-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1occ(n1)S)c1occ(n1)S,http://molview.org/?q=O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1occ(n1)S)c1occ(n1)S,-6.5,-3.31,2.12,1.87,,1.83,1.21,1.21,0.99,,0.04,7.51,/scratch/adrion.d/workflow/anthracene
