inchiKey,smiles,MolView_url,homo,lumo,verticalExcitationEnergy,redoxPotentialS0,redoxPotentialS1,redoxPotentialT1,dipoleMomentS0,dipoleMomentS1,dipoleMomentT1,zero0s1,zero0t1,ionizationPotential,source_directory
MUWCWQSJGMOQQK-VHXPQNKSSA-N,Clc1ccc(cc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cc1)Cl,http://molview.org/?q=Clc1ccc(cc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cc1)Cl,-5.93,-2.97,2.46,0.84,,0.64,5.02,5.02,4.05,,0.2,6.61,/scratch/mileson.b/thiophene_cis
MUWCWQSJGMOQQK-WCWDXBQESA-N,Clc1ccc(cc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cc1)Cl,http://molview.org/?q=Clc1ccc(cc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cc1)Cl,-5.95,-3.02,3.09,0.96,,0.13,0.04,0.04,0.02,,0.83,6.68,/scratch/abreha.b/photoswitch_flows/thiophene_trans
MVBAVADLRAQYLB-FMQUCBEESA-N,Fc1cnc(s1)c1ccc(o1)/N=N/c1ccc(o1)c1ncc(s1)F,http://molview.org/?q=Fc1cnc(s1)c1ccc(o1)/N=N/c1ccc(o1)c1ncc(s1)F,-5.97,-3.17,2.79,,,,2.94,2.94,2.96,2.1,0.79,,/scratch/adrion.d/workflow/furan_trans
MVIZPPNIWQMMMN-FMQUCBEESA-N,n1cc([nH]c1)c1ccc(s1)/N=N/c1ccc(s1)c1[nH]cnc1,http://molview.org/?q=n1cc([nH]c1)c1ccc(s1)/N=N/c1ccc(s1)c1[nH]cnc1,-5.69,-2.96,2.91,0.76,,0.0,0.0,0.0,0.01,,0.76,6.53,/scratch/abreha.b/photoswitch_flows/thiophene_trans
MVIZPPNIWQMMMN-VXPUYCOJSA-N,n1cc([nH]c1)c1ccc(s1)/N=N\c1ccc(s1)c1[nH]cnc1,http://molview.org/?q=n1cc([nH]c1)c1ccc(s1)/N=N\c1ccc(s1)c1[nH]cnc1,-5.74,-2.94,2.4,0.71,,0.54,5.78,5.78,7.12,,0.17,6.52,/scratch/mileson.b/thiophene_cis
MVJWHJIINGXEKF-UHFFFAOYSA-N,ClC#Cc1cc(C#N)cc(c1C#N)C#CCl,http://molview.org/?q=ClC#Cc1cc(C#N)cc(c1C#N)C#CCl,-7.26,-3.02,3.61,-0.81,,-3.68,0.04,0.04,1.42,,2.87,8.85,/scratch/adrion.d/workflow/dicyanobenzene_2_5
MVTJFTFARBCLKA-HUWOUMPJSA-N,N=Cc1ccc(s1)/N=N\c1ccc(s1)C=N,http://molview.org/?q=N=Cc1ccc(s1)/N=N\c1ccc(s1)C=N,-6.41,-3.19,2.45,1.28,,1.05,5.8,5.8,5.26,,0.23,7.32,/scratch/mileson.b/thiophene_cis
MVTJFTFARBCLKA-MYUULXRZSA-N,N=Cc1ccc(s1)/N=N\c1ccc(s1)C=N,http://molview.org/?q=N=Cc1ccc(s1)/N=N\c1ccc(s1)C=N,-6.41,-3.19,1.51,,,,5.8,5.8,5.26,,0.23,7.32,/scratch/agarwal.sni/1-1
MVTJFTFARBCLKA-ROZVNZQISA-N,N=Cc1ccc(s1)/N=N/c1ccc(s1)C=N,http://molview.org/?q=N=Cc1ccc(s1)/N=N/c1ccc(s1)C=N,-6.52,-3.34,3.07,1.52,,0.6,0.0,0.0,0.0,,0.92,7.61,/scratch/abreha.b/photoswitch_flows/thiophene_trans
MWARHWLDNOPYFQ-UHFFFAOYSA-N,N#Cc1c(cc(cc1c1ccc(cc1)Cl)C#N)c1ccc(cc1)Cl,http://molview.org/?q=N#Cc1c(cc(cc1c1ccc(cc1)Cl)C#N)c1ccc(cc1)Cl,-7.19,-2.57,3.91,2.27,,,1.25,1.25,1.74,,,8.32,/scratch/adrion.d/workflow/dicyanobenzene_2_5
MWDFQPDJWWCJFC-MNSGOHHFSA-N,O/N=C\c1ccc(cc1)/N=N/c1ccc(cc1)/C=N\O,http://molview.org/?q=O/N=C\c1ccc(cc1)/N=N/c1ccc(cc1)/C=N\O,-6.83,-3.0,2.78,1.77,,0.69,4.55,4.55,4.71,,1.08,7.76,/scratch/adrion.d/workflow/benzene_trans
MWGSTMUSSPAFHC-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(s1)O)c1ncc(s1)O,http://molview.org/?q=O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(s1)O)c1ncc(s1)O,-6.45,-3.21,2.35,,,,2.81,2.81,7.93,2.53,2.01,7.39,/scratch/adrion.d/workflow/anthracene
MWICKHZZMVWCRX-UHFFFAOYSA-N,N#Cc1nnc(nn1)[C@]1(C#N)N=N1,http://molview.org/?q=N#Cc1nnc(nn1)[C@]1(C#N)N=N1,-8.09,-4.01,2.44,3.1,0.98,1.64,3.39,3.39,3.24,2.12,1.46,9.82,/scratch/abreha.b/diazirines
MXLHCQJJQHKRNB-UHFFFAOYSA-N,Oc1coc(n1)[C@]1(O)N=N1,http://molview.org/?q=Oc1coc(n1)[C@]1(O)N=N1,-6.87,-2.5,3.16,1.93,,,3.57,3.57,9.38,,,8.45,/scratch/abreha.b/diazirines
MXOFOMLTZLRBJK-QURGRASLSA-N,Clc1ccc(n1C)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(n1C)Cl,http://molview.org/?q=Clc1ccc(n1C)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(n1C)Cl,-5.24,-2.64,2.59,,,,0.0,0.0,0.0,1.93,,5.98,/scratch/adrion.d/workflow/furan_trans
MXOIRLYYIXXIBC-UHFFFAOYSA-N,FC(Oc1cnc(s1)[C@@]1(N=N1)OC(F)(F)F)(F)F,http://molview.org/?q=FC(Oc1cnc(s1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-7.65,-2.98,3.4,2.47,-0.62,0.0,2.05,2.05,7.7,3.09,2.47,8.91,/scratch/abreha.b/diazirines
MYMCCQOKBAWNCS-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccc(cc1)Cl)c1ccc(cc1)Cl,http://molview.org/?q=O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccc(cc1)Cl)c1ccc(cc1)Cl,-6.89,-3.15,2.66,2.17,,,1.54,1.54,2.29,,,7.82,/scratch/adrion.d/workflow/anthracene
MYSHGDYHOSJOCQ-UHFFFAOYSA-N,FC(Oc1ccc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cn1)OC(F)(F)F)(F)F,http://molview.org/?q=FC(Oc1ccc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cn1)OC(F)(F)F)(F)F,-5.51,-2.55,1.51,0.69,,,2.04,2.04,2.17,,,6.42,/scratch/abreha.b/dibenzoperylenes_2sub
MYZXZTIAXGTQLV-UHFFFAOYSA-N,Fc1cnc(nc1)[C@]1(F)N=N1,http://molview.org/?q=Fc1cnc(nc1)[C@]1(F)N=N1,-7.98,-2.7,3.3,3.07,,,3.79,3.79,6.71,,,9.53,/scratch/abreha.b/diazirines
MYZZDPQANNNJDA-DQRAZIAOSA-N,Oc1ccc(cc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cc1)O,http://molview.org/?q=Oc1ccc(cc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cc1)O,-5.68,-2.84,2.45,0.6,,,8.01,8.01,7.24,,,6.24,/scratch/mileson.b/thiophene_cis
MYZZDPQANNNJDA-QURGRASLSA-N,Oc1ccc(cc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cc1)O,http://molview.org/?q=Oc1ccc(cc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cc1)O,-5.66,-2.83,2.93,0.63,,,0.0,0.0,0.02,,,6.27,/scratch/abreha.b/photoswitch_flows/thiophene_trans
MZAJZFSNDKQOQC-FLWNBWAVSA-N,N#Cc1ccc(nc1)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(cn1)C#N,http://molview.org/?q=N#Cc1ccc(nc1)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(cn1)C#N,-6.55,-2.77,2.72,1.46,,,6.31,6.31,5.43,,,7.4,/scratch/abreha.b/photoswitch_flows/benzene_cis
MZCAIXMFCGSKDV-UHFFFAOYSA-N,c1nnc(nn1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1nncnn1,http://molview.org/?q=c1nnc(nn1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1nncnn1,-5.7,-3.09,1.46,-4.33,-5.9,,3.5,3.5,,1.57,,6.64,/scratch/abreha.b/dibenzoperylenes_2sub
MZCVGFHRLMKZGY-UHFFFAOYSA-N,Oc1cc2c3cc(O)c4c5c3c(c3c2c2c1cccc2c(c3)O)cc(c5ccc4)O,http://molview.org/?q=Oc1cc2c3cc(O)c4c5c3c(c3c2c2c1cccc2c(c3)O)cc(c5ccc4)O,-5.13,-2.17,2.91,0.34,-1.98,-0.89,5.28,5.28,5.45,2.32,1.23,5.98,/scratch/abreha.b/dibenzoperylenes
MZXQVFRTMJTNPM-UHFFFAOYSA-N,N#Cc1cc(c2nccs2)c(c(c1)c1nccs1)C#N,http://molview.org/?q=N#Cc1cc(c2nccs2)c(c(c1)c1nccs1)C#N,-6.82,-3.15,3.74,-0.84,,-3.27,5.77,5.77,6.82,,2.43,8.22,/scratch/adrion.d/workflow/dicyanobenzene_2_5
NAENMAXOXHGNFQ-PGMKUTCJSA-N,FC(O/C=C\c1ccc(s1)/N=N/c1ccc(s1)/C=C/OC(F)(F)F)(F)F,http://molview.org/?q=FC(O/C=C\c1ccc(s1)/N=N/c1ccc(s1)/C=C/OC(F)(F)F)(F)F,-5.97,-3.05,3.06,1.0,,,0.0,0.0,0.0,,,6.82,/scratch/abreha.b/photoswitch_flows/thiophene_trans
NAENMAXOXHGNFQ-WYSJLEGWSA-N,FC(O/C=C/c1ccc(s1)/N=N\c1ccc(s1)/C=C/OC(F)(F)F)(F)F,http://molview.org/?q=FC(O/C=C/c1ccc(s1)/N=N\c1ccc(s1)/C=C/OC(F)(F)F)(F)F,-5.94,-2.98,2.48,,,,2.61,2.61,2.73,,0.18,6.74,/scratch/mileson.b/thiophene_cis
NAMCWXVZSGFYFR-OCEACIFDSA-N,FC(Oc1cnc(s1)c1ccc(s1)/N=N/c1ccc(s1)c1ncc(s1)OC(F)(F)F)(F)F,http://molview.org/?q=FC(Oc1cnc(s1)c1ccc(s1)/N=N/c1ccc(s1)c1ncc(s1)OC(F)(F)F)(F)F,-6.18,-3.36,2.86,1.31,,0.49,0.0,0.0,0.0,,0.82,7.05,/scratch/abreha.b/photoswitch_flows/thiophene_trans
